Date,Net Audience Growth,Net Audience Growth_lag1,Net Audience Growth_lag2,Net Audience Growth_lag3,Website Traffic,Website Traffic_lag1,Website Traffic_lag2,Website Traffic_lag3,dayofweek,dayofweek_lag1,dayofweek_lag2,dayofweek_lag3,quarter,quarter_lag1,quarter_lag2,quarter_lag3,month,month_lag1,month_lag2,month_lag3,dayofmonth,dayofmonth_lag1,dayofmonth_lag2,dayofmonth_lag3,weekofyear,weekofyear_lag1,weekofyear_lag2,weekofyear_lag3
2022-06-15,8,0.0,0.0,0.0,219,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,15,0.0,0.0,0.0,24,0.0,0.0,0.0
2022-06-16,9,0.0,0.0,0.0,366,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,16,0.0,0.0,0.0,24,0.0,0.0,0.0
2022-06-17,4,0.0,0.0,0.0,222,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,17,0.0,0.0,0.0,24,0.0,0.0,0.0
2022-06-18,9,0.0,0.0,0.0,102,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,18,0.0,0.0,0.0,24,0.0,0.0,0.0
2022-06-19,21,0.0,0.0,0.0,180,0.0,0.0,0.0,6,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,19,0.0,0.0,0.0,24,0.0,0.0,0.0
2022-06-20,1,0.0,0.0,0.0,222,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,20,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-21,18,0.0,0.0,0.0,201,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,21,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-22,16,0.0,0.0,0.0,222,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,22,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-23,1,0.0,0.0,0.0,180,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,23,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-24,8,0.0,0.0,0.0,237,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,24,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-25,10,0.0,0.0,0.0,111,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,25,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-26,-20,0.0,0.0,0.0,126,0.0,0.0,0.0,6,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,26,0.0,0.0,0.0,25,0.0,0.0,0.0
2022-06-27,-6,0.0,0.0,0.0,288,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,27,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-06-28,18,0.0,0.0,0.0,303,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,28,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-06-29,18,0.0,0.0,0.0,342,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,29,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-06-30,14,0.0,0.0,0.0,1074,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,0.0,30,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-07-01,17,0.0,0.0,0.0,2070,0.0,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,1,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-07-02,31,0.0,0.0,0.0,885,0.0,0.0,0.0,5,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,2,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-07-03,46,0.0,0.0,0.0,1002,0.0,0.0,0.0,6,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,3,0.0,0.0,0.0,26,0.0,0.0,0.0
2022-07-04,15,0.0,0.0,0.0,693,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,27,0.0,0.0,0.0
2022-07-05,71,0.0,0.0,0.0,1899,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,27,0.0,0.0,0.0
2022-07-06,211,0.0,0.0,0.0,6141,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,6,0.0,0.0,0.0,27,0.0,0.0,0.0
2022-07-07,67,0.0,0.0,0.0,3507,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,27,0.0,0.0,0.0
2022-07-08,57,0.0,0.0,0.0,4245,0.0,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,8,0.0,0.0,0.0,27,0.0,0.0,0.0
