,Net Audience Growth,Net Audience Growth_lag1,Net Audience Growth_lag2,Net Audience Growth_lag3,Website Traffic,Website Traffic_lag1,Website Traffic_lag2,Website Traffic_lag3,dayofweek,dayofweek_lag1,dayofweek_lag2,dayofweek_lag3,quarter,quarter_lag1,quarter_lag2,quarter_lag3,month,month_lag1,month_lag2,month_lag3,dayofmonth,dayofmonth_lag1,dayofmonth_lag2,dayofmonth_lag3,weekofyear,weekofyear_lag1,weekofyear_lag2,weekofyear_lag3
2023-03-11,22.0,41.0,152.0,187.0,1623.0,1245.0,1761.0,2001.0,6.0,4.0,2.0,0.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,11.0,11.0,12.0,12.0,49.0,45.0,41.0,37.0
2023-03-12,37.0,14.0,165.0,195.0,1506.0,1167.0,3273.0,2181.0,0.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,12.0,12.0,13.0,13.0,50.0,45.0,41.0,37.0
2023-03-13,31.0,15.0,92.0,166.0,1716.0,1401.0,3231.0,1917.0,1.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,13.0,13.0,14.0,14.0,50.0,45.0,41.0,37.0
2023-03-14,17.0,25.0,52.0,144.0,1383.0,1593.0,2229.0,1935.0,2.0,0.0,5.0,3.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,14.0,14.0,15.0,15.0,50.0,46.0,41.0,37.0
2023-03-15,9.0,17.0,30.0,221.0,1353.0,1470.0,1749.0,2637.0,3.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,15.0,15.0,16.0,16.0,50.0,46.0,41.0,37.0
2023-03-16,12.0,12.0,47.0,185.0,1236.0,1596.0,1698.0,3060.0,4.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,16.0,16.0,17.0,17.0,50.0,46.0,42.0,37.0
2023-03-17,71.0,8.0,44.0,170.0,1083.0,1512.0,1713.0,2589.0,5.0,3.0,1.0,6.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,17.0,17.0,18.0,18.0,50.0,46.0,42.0,37.0
2023-03-18,5.0,23.0,30.0,171.0,906.0,1593.0,1404.0,2259.0,6.0,4.0,2.0,0.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,18.0,18.0,19.0,19.0,50.0,46.0,42.0,38.0
2023-03-19,6.0,16.0,20.0,79.0,1098.0,1215.0,1350.0,2085.0,0.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,19.0,19.0,20.0,20.0,51.0,46.0,42.0,38.0
2023-03-20,39.0,17.0,40.0,112.0,1230.0,1440.0,1242.0,2079.0,1.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,20.0,20.0,21.0,21.0,51.0,46.0,42.0,38.0
2023-03-21,30.0,0.0,28.0,146.0,1287.0,1551.0,1311.0,1893.0,2.0,0.0,5.0,3.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,21.0,21.0,22.0,22.0,51.0,47.0,42.0,38.0
2023-03-22,37.0,20.0,27.0,98.0,1512.0,1617.0,1269.0,1758.0,3.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,22.0,22.0,23.0,23.0,51.0,47.0,42.0,38.0
2023-03-23,26.0,15.0,67.0,77.0,1263.0,1518.0,2094.0,1755.0,4.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,23.0,23.0,24.0,24.0,51.0,47.0,43.0,38.0
2023-03-24,18.0,12.0,60.0,85.0,915.0,1650.0,2358.0,2415.0,5.0,3.0,1.0,6.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,24.0,24.0,25.0,25.0,51.0,47.0,43.0,38.0
2023-03-25,14.0,8.0,36.0,61.0,903.0,1602.0,1773.0,2469.0,6.0,4.0,2.0,0.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,25.0,25.0,26.0,26.0,51.0,47.0,43.0,39.0
2023-03-26,14.0,-1.0,37.0,75.0,900.0,1380.0,1434.0,3402.0,0.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,26.0,26.0,27.0,27.0,52.0,47.0,43.0,39.0
2023-03-27,11.0,4.0,5.0,71.0,1053.0,1542.0,1257.0,2721.0,1.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,27.0,27.0,28.0,28.0,52.0,47.0,43.0,39.0
2023-03-28,15.0,4.0,54.0,68.0,999.0,1413.0,1149.0,2349.0,2.0,0.0,5.0,3.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,28.0,28.0,29.0,29.0,52.0,48.0,43.0,39.0
2023-03-29,24.0,12.0,33.0,55.0,1218.0,1491.0,1194.0,2058.0,3.0,1.0,6.0,4.0,4.0,4.0,4.0,3.0,12.0,11.0,10.0,9.0,29.0,29.0,30.0,30.0,52.0,48.0,43.0,39.0
