Date,Website Traffic,Net Audience Growth,dayofweek,quarter,month,dayofmonth,weekofyear
2022-06-15,219,8,2,2,6,15,24
2022-06-16,366,9,3,2,6,16,24
2022-06-17,222,4,4,2,6,17,24
2022-06-18,102,9,5,2,6,18,24
2022-06-19,180,21,6,2,6,19,24
2022-06-20,222,1,0,2,6,20,25
2022-06-21,201,18,1,2,6,21,25
2022-06-22,222,16,2,2,6,22,25
2022-06-23,180,1,3,2,6,23,25
2022-06-24,237,8,4,2,6,24,25
2022-06-25,111,10,5,2,6,25,25
2022-06-26,126,-20,6,2,6,26,25
2022-06-27,288,-6,0,2,6,27,26
2022-06-28,303,18,1,2,6,28,26
2022-06-29,342,18,2,2,6,29,26
2022-06-30,1074,14,3,2,6,30,26
2022-07-01,2070,17,4,3,7,1,26
2022-07-02,885,31,5,3,7,2,26
2022-07-03,1002,46,6,3,7,3,26
2022-07-04,693,15,0,3,7,4,27
2022-07-05,1899,71,1,3,7,5,27
2022-07-06,6141,211,2,3,7,6,27
2022-07-07,3507,67,3,3,7,7,27
2022-07-08,4245,57,4,3,7,8,27
2022-07-09,2064,40,5,3,7,9,27
2022-07-10,1578,28,6,3,7,10,27
2022-07-11,1518,31,0,3,7,11,28
2022-07-12,981,15,1,3,7,12,28
2022-07-13,930,16,2,3,7,13,28
2022-07-14,894,12,3,3,7,14,28
2022-07-15,759,14,4,3,7,15,28
2022-07-16,495,5,5,3,7,16,28
2022-07-17,474,5,6,3,7,17,28
2022-07-18,1347,85,0,3,7,18,29
2022-07-19,1221,140,1,3,7,19,29
2022-07-20,1353,95,2,3,7,20,29
2022-07-21,1056,79,3,3,7,21,29
2022-07-22,855,41,4,3,7,22,29
2022-07-23,630,41,5,3,7,23,29
2022-07-24,564,27,6,3,7,24,29
2022-07-25,1827,25,0,3,7,25,30
2022-07-26,798,88,1,3,7,26,30
2022-07-27,549,8,2,3,7,27,30
2022-07-28,507,5,3,3,7,28,30
2022-07-29,402,-1,4,3,7,29,30
2022-07-30,615,15,5,3,7,30,30
2022-07-31,705,13,6,3,7,31,30
2022-08-01,654,17,0,3,8,1,31
2022-08-02,801,32,1,3,8,2,31
2022-08-03,747,36,2,3,8,3,31
2022-08-04,558,37,3,3,8,4,31
2022-08-05,669,49,4,3,8,5,31
2022-08-06,882,62,5,3,8,6,31
2022-08-07,606,32,6,3,8,7,31
2022-08-08,522,4,0,3,8,8,32
2022-08-09,507,8,1,3,8,9,32
2022-08-10,576,1,2,3,8,10,32
2022-08-11,468,2,3,3,8,11,32
2022-08-12,402,3,4,3,8,12,32
2022-08-13,183,3,5,3,8,13,32
2022-08-14,189,16,6,3,8,14,32
2022-08-15,390,-4,0,3,8,15,33
2022-08-16,534,16,1,3,8,16,33
2022-08-17,576,9,2,3,8,17,33
2022-08-18,936,12,3,3,8,18,33
2022-08-19,927,6,4,3,8,19,33
2022-08-20,777,6,5,3,8,20,33
2022-08-21,894,2,6,3,8,21,33
2022-08-22,1239,10,0,3,8,22,34
2022-08-23,1410,12,1,3,8,23,34
2022-08-24,1167,1,2,3,8,24,34
2022-08-25,699,10,3,3,8,25,34
2022-08-26,546,7,4,3,8,26,34
2022-08-27,348,12,5,3,8,27,34
2022-08-28,447,6,6,3,8,28,34
2022-08-29,450,7,0,3,8,29,35
2022-08-30,534,3,1,3,8,30,35
2022-08-31,567,-7,2,3,8,31,35
2022-09-01,558,16,3,3,9,1,35
2022-09-02,588,17,4,3,9,2,35
2022-09-03,501,12,5,3,9,3,35
2022-09-04,426,8,6,3,9,4,35
2022-09-05,681,18,0,3,9,5,36
2022-09-06,924,19,1,3,9,6,36
2022-09-07,918,23,2,3,9,7,36
2022-09-08,1017,48,3,3,9,8,36
2022-09-09,2301,46,4,3,9,9,36
2022-09-10,2304,200,5,3,9,10,36
2022-09-11,2088,220,6,3,9,11,36
2022-09-12,2001,187,0,3,9,12,37
2022-09-13,2181,195,1,3,9,13,37
2022-09-14,1917,166,2,3,9,14,37
2022-09-15,1935,144,3,3,9,15,37
2022-09-16,2637,221,4,3,9,16,37
2022-09-17,3060,185,5,3,9,17,37
2022-09-18,2589,170,6,3,9,18,37
2022-09-19,2259,171,0,3,9,19,38
2022-09-20,2085,79,1,3,9,20,38
2022-09-21,2079,112,2,3,9,21,38
2022-09-22,1893,146,3,3,9,22,38
2022-09-23,1758,98,4,3,9,23,38
2022-09-24,1755,77,5,3,9,24,38
2022-09-25,2415,85,6,3,9,25,38
2022-09-26,2469,61,0,3,9,26,39
2022-09-27,3402,75,1,3,9,27,39
2022-09-28,2721,71,2,3,9,28,39
2022-09-29,2349,68,3,3,9,29,39
2022-09-30,2058,55,4,3,9,30,39
2022-10-01,1851,75,5,4,10,1,39
