,Date,Unnamed: 0,Network,Profile,Audience,Net Audience Growth,Audience Gained,Sent Messages (Total),Published Posts (Total),Received Messages (Total),Impressions,Video Views,Engagements,Engagement Rate (per Impression),Reactions,Comments,Shares,Post Link Clicks,Saves,Other Post Clicks,Sent Posts (Facebook),Sent Posts (Instagram),Sent Stories (Instagram),Sent Reels (Instagram),Sent Comments (Instagram),Sent Videos (TikTok),Received Comments (Facebook),Received Ad Comments (Facebook),Received Comments (Instagram),Received Mentions (Instagram),Received Media Tags (Instagram),Received Comments (TikTok),Website Traffic,new_ig_followers,new_fb_page_likes,instagram_reach,facebook_reach
0,2022-06-15,402,Facebook,T H E U N S E E N Beauty,"10,245",0.0,0.0,0,0,0,1,0,0,0%,0,0.0,0.0,0.0,,0,,,,,,,,,,,,,73,17,0,57,1
1,2022-06-15,403,Instagram,theunseenbeauty,"22,464",10.0,17.0,0,0,8,340,22,4,1.18%,3,0.0,0.0,,1.0,,,,,,,,,,,6.0,2.0,,73,17,0,57,1
2,2022-06-15,404,TikTok,theunseenbeautyuk,477,-2.0,,0,0,0,,60,5,,5,0.0,0.0,,,,,,,,,0.0,,,,,,,73,17,0,57,1
3,2022-06-16,405,Facebook,T H E U N S E E N Beauty,"10,245",0.0,0.0,0,0,0,5,0,0,0%,0,0.0,0.0,0.0,,0,,,,,,,,,,,,,122,16,0,307,3
4,2022-06-16,406,Instagram,theunseenbeauty,"22,473",9.0,16.0,0,0,20,810,36,10,1.23%,7,1.0,0.0,,2.0,,,,,,,,,,,15.0,5.0,,122,16,0,307,3
5,2022-06-16,407,TikTok,theunseenbeautyuk,477,0.0,,0,0,0,,8,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,122,16,0,307,3
6,2022-06-17,408,Facebook,T H E U N S E E N Beauty,"10,245",0.0,0.0,0,0,0,15,0,0,0%,0,0.0,0.0,0.0,,0,,,,,,,,,,,,,74,8,0,73,2
7,2022-06-17,409,Instagram,theunseenbeauty,"22,475",2.0,8.0,0,0,2,466,32,7,1.5%,3,0.0,0.0,,4.0,,,,,,,,,,,2.0,,,74,8,0,73,2
8,2022-06-17,410,TikTok,theunseenbeautyuk,479,2.0,,0,0,0,,10,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,74,8,0,73,2
9,2022-06-18,411,Facebook,T H E U N S E E N Beauty,"10,247",0.0,1.0,0,0,1,65,2,0,0%,0,0.0,0.0,0.0,,0,,,,,,,,,,,,,34,19,1,45,12
10,2022-06-18,412,Instagram,theunseenbeauty,"22,484",9.0,19.0,0,0,7,286,15,5,1.75%,3,0.0,0.0,,2.0,,,,,,,,,,,3.0,4.0,,34,19,1,45,12
11,2022-06-18,413,TikTok,theunseenbeautyuk,479,0.0,,0,0,0,,83,10,,10,0.0,0.0,,,,,,,,,0.0,,,,,,,34,19,1,45,12
12,2022-06-19,414,Facebook,T H E U N S E E N Beauty,"10,246",-1.0,0.0,0,0,1,62,8,0,0%,0,0.0,0.0,0.0,,0,,,,,,,1.0,,,,,,60,21,0,63,6
13,2022-06-19,415,Instagram,theunseenbeauty,"22,505",21.0,21.0,0,0,2,576,42,2,0.35%,2,0.0,0.0,,0.0,,,,,,,,,,,1.0,1.0,,60,21,0,63,6
14,2022-06-19,416,TikTok,theunseenbeautyuk,480,1.0,,0,0,0,,21,1,,1,0.0,0.0,,,,,,,,,0.0,,,,,,,60,21,0,63,6
15,2022-06-20,417,Facebook,T H E U N S E E N Beauty,"10,246",0.0,0.0,0,0,0,25,1,0,0%,0,0.0,0.0,0.0,,0,,,,,,,,,,,,,74,10,0,446,6
16,2022-06-20,418,Instagram,theunseenbeauty,"22,506",1.0,10.0,0,0,2,691,49,0,0%,0,0.0,0.0,,0.0,,,,,,,,,,,2.0,,,74,10,0,446,6
17,2022-06-20,419,TikTok,theunseenbeautyuk,480,0.0,,0,0,0,,5,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,74,10,0,446,6
18,2022-06-21,420,Facebook,T H E U N S E E N Beauty,"10,246",0.0,1.0,0,0,1,0,0,0,,0,0.0,0.0,0.0,,0,,,,,,,1.0,,,,,,67,26,1,814,0
19,2022-06-21,421,Instagram,theunseenbeauty,"22,524",18.0,26.0,0,0,5,"1,431",44,7,0.49%,5,0.0,0.0,,2.0,,,,,,,,,,,5.0,,,67,26,1,814,0
20,2022-06-21,422,TikTok,theunseenbeautyuk,480,0.0,,0,0,0,,29,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,67,26,1,814,0
21,2022-06-22,423,Facebook,T H E U N S E E N Beauty,,,,0,0,0,,,0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,74,16,0,56,0
22,2022-06-22,424,Instagram,theunseenbeauty,"22,540",16.0,16.0,0,0,6,441,32,2,0.45%,1,0.0,0.0,,1.0,,,,,,,,,,,2.0,4.0,,74,16,0,56,0
23,2022-06-22,425,TikTok,theunseenbeautyuk,480,0.0,,0,0,0,,17,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,74,16,0,56,0
24,2022-06-23,426,Facebook,T H E U N S E E N Beauty,"10,246",0.0,0.0,0,0,1,24,0,0,0%,0,0.0,0.0,0.0,,0,,,,,,,1.0,,,,,,60,10,0,34,2
25,2022-06-23,427,Instagram,theunseenbeauty,"22,541",1.0,10.0,0,0,0,276,20,1,0.36%,1,0.0,0.0,,0.0,,,,,,,,,,,,,,60,10,0,34,2
26,2022-06-23,428,TikTok,theunseenbeautyuk,480,0.0,,0,0,0,,16,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,60,10,0,34,2
27,2022-06-24,429,Facebook,T H E U N S E E N Beauty,"10,246",0.0,0.0,1,1,0,140,13,12,8.57%,0,0.0,0.0,0.0,,12,1.0,,,,,,,,,,,,79,12,0,1333,70
28,2022-06-24,430,Instagram,theunseenbeauty,"22,549",8.0,12.0,3,2,5,"1,975",300,48,2.43%,40,4.0,0.0,,4.0,,,1.0,1.0,,1.0,,,,3.0,1.0,1.0,,79,12,0,1333,70
29,2022-06-24,431,TikTok,theunseenbeautyuk,480,0.0,,0,0,0,,64,3,,3,0.0,0.0,,,,,,,,,0.0,,,,,,,79,12,0,1333,70
30,2022-06-25,432,Facebook,T H E U N S E E N Beauty,"10,245",-1.0,0.0,1,1,0,232,3,13,5.6%,1,0.0,0.0,0.0,,12,1.0,,,,,,,,,,,,37,10,0,1209,213
31,2022-06-25,433,Instagram,theunseenbeauty,"22,559",10.0,10.0,2,1,10,"2,002",322,35,1.75%,32,0.0,0.0,,3.0,,,1.0,,,1.0,,,,6.0,4.0,,,37,10,0,1209,213
32,2022-06-25,434,TikTok,theunseenbeautyuk,481,1.0,,0,0,0,,21,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,37,10,0,1209,213
33,2022-06-26,435,Facebook,T H E U N S E E N Beauty,"10,246",1.0,1.0,1,1,2,358,2,3,0.84%,1,0.0,0.0,1.0,,1,1.0,,,,,,1.0,,,,,,42,4,1,1650,246
34,2022-06-26,436,Instagram,theunseenbeauty,"22,538",-21.0,4.0,5,4,8,"3,144",124,217,6.9%,197,8.0,0.0,,12.0,,,1.0,3.0,,1.0,,,,6.0,2.0,,,42,4,1,1650,246
35,2022-06-26,437,TikTok,theunseenbeautyuk,481,0.0,,0,0,0,,28,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,42,4,1,1650,246
36,2022-06-27,438,Facebook,T H E U N S E E N Beauty,"10,244",-1.0,0.0,1,1,1,236,9,20,8.47%,0,0.0,0.0,0.0,,20,1.0,,,,,,1.0,,,,,,96,9,0,2421,136
37,2022-06-27,439,Instagram,theunseenbeauty,"22,534",-4.0,9.0,7,2,22,"4,270",517,230,5.39%,186,24.0,0.0,,20.0,,,1.0,1.0,,5.0,,,,14.0,8.0,,,96,9,0,2421,136
38,2022-06-27,440,TikTok,theunseenbeautyuk,481,-1.0,,0,0,0,,31,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,96,9,0,2421,136
39,2022-06-28,441,Facebook,T H E U N S E E N Beauty,"10,288",1.0,1.0,1,1,0,100,8,43,43%,0,0.0,0.0,0.0,,43,1.0,,,,,,,,,,,,101,23,1,1526,80
40,2022-06-28,442,Instagram,theunseenbeauty,"22,550",16.0,23.0,4,3,2,"2,681",243,36,1.34%,31,0.0,0.0,,5.0,,,1.0,2.0,,1.0,,,,,1.0,1.0,,101,23,1,1526,80
41,2022-06-28,443,TikTok,theunseenbeautyuk,481,1.0,,0,0,0,,24,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,101,23,1,1526,80
42,2022-06-29,444,Facebook,T H E U N S E E N Beauty,"10,288",-1.0,0.0,1,1,0,122,19,19,15.57%,1,0.0,0.0,0.0,,18,1.0,,,,,,,,,,,,114,25,0,1982,91
43,2022-06-29,445,Instagram,theunseenbeauty,"22,567",17.0,25.0,4,3,12,"3,838",369,45,1.17%,41,1.0,0.0,,3.0,,,1.0,2.0,,1.0,,,,5.0,4.0,3.0,,114,25,0,1982,91
44,2022-06-29,446,TikTok,theunseenbeautyuk,483,2.0,,0,0,0,,14,0,,0,0.0,0.0,,,,,,,,,0.0,,,,,,,114,25,0,1982,91
45,2022-06-30,447,Facebook,T H E U N S E E N Beauty,"10,288",0.0,0.0,1,1,1,163,8,12,7.36%,3,0.0,0.0,0.0,,9,1.0,,,,,,,,,,,,358,19,0,1545,96
46,2022-06-30,448,Instagram,theunseenbeauty,"22,578",11.0,19.0,7,6,8,"3,468",821,163,4.7%,145,6.0,0.0,,12.0,,,1.0,5.0,,1.0,,,,3.0,5.0,,,358,19,0,1545,96
47,2022-06-30,449,TikTok,theunseenbeautyuk,486,3.0,,0,0,0,,37,3,,1,0.0,2.0,,,,,,,,,0.0,,,,,,,358,19,0,1545,96
48,2022-07-01,450,Facebook,T H E U N S E E N Beauty,"10,288",0.0,0.0,2,2,0,214,17,9,4.21%,1,0.0,0.0,0.0,,8,2.0,,,,,,,,,,,,690,21,0,1456,92
