,city,country,total_spent
0,No entry,No entry,0.0
1,No entry,No entry,75.0
2,City,United Kingdom,0.0
3,London,United Kingdom,0.0
4,London,United Kingdom,35.99
5,No entry,No entry,0.0
6,London,United Kingdom,0.0
7,HARTLEPOOL,United Kingdom,28.99
8,Bad Homburg vor der Höhe,Germany,0.0
9,No entry,No entry,0.0
10,Stockport,United Kingdom,35.99
11,Honolulu,United States,0.0
12,Brooklyn,United States,37.13
13,Indianapolis,United States,37.13
14,London,United Kingdom,35.99
15,Philadelphia,United States,0.0
16,No entry,No entry,0.0
17,London,United Kingdom,68.99
18,London,United Kingdom,0.0
19,Birmingham,United Kingdom,35.99
20,Woodbridge,United Kingdom,35.99
21,No entry,No entry,0.0
22,London,United Kingdom,35.99
23,Aberdeen,United Kingdom,68.99
24,London,United Kingdom,35.99
25,Nottingham,United Kingdom,170.98
26,Wuppertal,Germany,0.0
27,Geilenkirchen,Germany,0.0
28,Kassel,Germany,0.0
29,Pozuelo de Alarcón,Spain,37.59
30,London,United Kingdom,35.99
31,Boston,United Kingdom,36.99
32,Miami,United States,42.52
33,Evanston,United States,0.0
34,Neuilly Sur Seine,France,37.59
35,No entry,No entry,0.0
36,Woking,United Kingdom,35.99
37,London,United Kingdom,35.99
38,North York,Canada,35.99
39,London,United Kingdom,36.99
40,No entry,No entry,0.0
41,London,United Kingdom,35.99
42,San Francisco,United States,37.13
43,Youngstown,United States,37.13
44,STOKE-ON-TRENT,United Kingdom,35.99
45,Manchester,United Kingdom,35.99
46,London,United Kingdom,68.99
47,Pembroke Pines,United States,107.26
48,"Walton-on-Thames, Surrey, United Kingdom",United Kingdom,68.99
49,Elizabeth,United States,0.0
50,Crownsville,United States,0.0
51,High Wycombe,United Kingdom,35.99
52,New York,United States,0.0
53,Killeen,United States,0.0
54,BIRMINGHAM,United Kingdom,35.99
55,New York,United States,75.52
56,New York,United States,37.13
57,Denver,United States,70.13
58,Hertford,United Kingdom,35.99
59,Bergen,Norway,37.59
60,No entry,No entry,0.0
61,New York,United States,37.13
62,Cambridge,United Kingdom,35.99
63,London,United Kingdom,70.94
64,Los Angeles,United States,70.13
65,Lübeck,Germany,70.59
66,Milano,Italy,0.0
67,London,United Kingdom,105.98
68,Berlin,Germany,0.0
69,Crema,Italy,37.59
70,Hallandale Beach,United States,70.13
71,Milano,Italy,37.59
72,London,United Kingdom,35.99
73,London,United Kingdom,36.99
74,København N,Denmark,0.0
75,Portage,United States,0.0
76,Dueville,Italy,37.59
77,Jamestown,United States,37.13
78,Hancock,United States,0.0
79,North Tonawanda,United States,37.13
80,Arcata,United States,0.0
81,Montebello,United States,0.0
82,Ramsbury,United Kingdom,35.99
83,Ontario,United States,0.0
84,Columbia,United States,0.0
85,Stony Brook,United States,0.0
86,Buena Park,United States,37.13
87,Ortonville,United States,0.0
88,Bergenfield,United States,37.13
89,Eugene,United States,70.13
90,Columbus,United States,0.0
91,University Place,United States,0.0
92,"Greenhithe, Kent",United Kingdom,68.99
93,Liverpool,United Kingdom,35.99
94,Virginia Beach,United States,37.13
95,Peebles,United Kingdom,36.99
96,No entry,No entry,0.0
97,West Orange,United States,70.13
98,Brooklyn,United States,0.0
99,Brooklyn,United States,37.13
100,Leipzig,Germany,0.0
101,Denver,United States,37.13
102,LONDON,United Kingdom,35.99
103,Roma,Italy,0.0
104,New York,United States,37.13
105,Tiverton,United Kingdom,0.0
106,No entry,No entry,0.0
107,Leixlip,Ireland,37.59
108,Hamden,United States,37.13
109,Vullierens,Switzerland,37.59
110,bordeaux,France,37.59
111,Bedford,United Kingdom,35.99
112,Debden,United Kingdom,35.99
113,Bronx,United States,0.0
114,Los Angeles,United States,0.0
115,Comfort,United States,37.13
116,Rotterdam,Netherlands,75.43
117,Amsterdam.,Netherlands,70.59
118,Paris,France,37.59
119,No entry,No entry,0.0
120,Surbiton,United Kingdom,35.99
121,Los Angeles,United States,170.16
122,Winchester,United Kingdom,35.99
123,LONDON,United Kingdom,35.99
124,London,United Kingdom,36.99
125,Genève,Switzerland,0.0
126,Beckenham,United Kingdom,35.99
127,Paris,France,0.0
128,Chicago,United States,0.0
129,Glasgow,United Kingdom,258.97
130,Honolulu,United States,37.13
131,Orzinuovi,Italy,70.59
132,Seattle,United States,70.13
133,London,United Kingdom,71.98
134,Brooklyn,United States,42.52
135,Vilnius,Lithuania,0.0
136,Madrid,Spain,33.0
137,London,United Kingdom,35.99
138,Sleepy Hollow,United States,37.13
139,Kaunas,Lithuania,0.0
140,London,United Kingdom,36.99
141,No entry,No entry,0.0
142,Wembley,United Kingdom,36.99
143,Sankt-Peterburg,Russia,0.0
144,Longniddry,United Kingdom,35.99
145,Manchester,United Kingdom,68.99
146,Glasgow,United Kingdom,35.99
147,Alpharetta,United States,70.13
148,Chicago,United States,103.13
149,Paris,France,37.59
150,Hollywood,United States,0.0
151,London,United Kingdom,36.89
152,Leipzig,Germany,0.0
153,Moss,Norway,37.59
154,London,United Kingdom,35.99
155,Cranford,United States,0.0
156,Bron,France,0.0
157,Fjardhundra,Sweden,37.59
158,London,United Kingdom,35.99
159,La Feuillade,France,0.0
160,A coruña,Spain,0.0
161,Weymouth,United Kingdom,0.0
162,Głuchowo,Poland,0.0
163,Upper Chichester,United States,0.0
164,Toronto,Canada,0.0
165,Aspers,United States,37.13
166,Mountlake Terrace,United States,0.0
167,Bergen,Norway,0.0
168,Oakland,United States,0.0
169,Ridgefield Park,United States,0.0
170,Cranbourne,Australia,0.0
171,Renton,United States,37.13
172,Santa Barbara,United States,0.0
173,San Francisco,United States,37.13
174,Broomfield,United States,37.13
175,Burleigh Waters,Australia,0.0
176,Leszno,Poland,0.0
177,San Pedro Alcántara,Spain,0.0
178,Belair,Australia,0.0
179,London,United Kingdom,68.99
180,No entry,No entry,0.0
181,Targu Jiu,Romania,0.0
182,Glasgow,United Kingdom,35.99
183,Parker,United States,37.13
184,National City,United States,37.13
185,Miami,United States,42.52
186,Mesilla Park,United States,0.0
187,Los Angeles,United States,42.52
188,Barreiro,Portugal,0.0
189,Crawley,United Kingdom,35.99
190,leicester,United Kingdom,0.0
191,Edinburgh,United Kingdom,68.99
192,London,United Kingdom,71.98
193,Toulouse,France,0.0
194,Commack,United States,0.0
195,West Wickham,United Kingdom,35.99
196,Columbus,United States,37.13
197,Arcata,United States,0.0
198,Mennecy,France,37.59
199,Paris,France,80.02
200,Beaverton,United States,0.0
201,Kaunas,Lithuania,42.43
202,Bronxville,United States,75.52
203,Richmond,United States,0.0
204,Syracuse,United States,0.0
205,London,United Kingdom,0.0
206,No entry,No entry,0.0
207,Norcross,United States,0.0
208,Beograd,Serbia,0.0
209,BUCURESTI,Romania,0.0
210,Bucharest,Romania,0.0
211,Neuilly-sur-Seine,France,37.59
212,Chapel Hill,United States,37.13
213,Weslaco,United States,0.0
214,Atherton,United Kingdom,0.0
215,No entry,No entry,0.0
216,Plymouth,United Kingdom,68.99
217,Amsterdam,Netherlands,0.0
218,Milano,Italy,0.0
219,Netanya,Israel,0.0
220,London,United Kingdom,35.99
221,No entry,No entry,0.0
222,London,United Kingdom,101.99
223,London,United Kingdom,0.0
224,Sneedville,United States,0.0
225,Renan,Switzerland,37.59
226,London,United Kingdom,94.99
