Date,total_price
2022-06-15,0
2022-06-16,35
2022-06-17,137
2022-06-18,70
2022-06-19,137
2022-06-20,68
2022-06-21,37
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,0
2022-06-27,69
2022-06-28,35
2022-06-29,70
2022-06-30,35
2022-07-01,1246
2022-07-02,415
2022-07-03,210
2022-07-04,210
2022-07-05,548
2022-07-06,1841
2022-07-07,953
2022-07-08,966
2022-07-09,176
2022-07-10,317
2022-07-11,103
2022-07-12,37
2022-07-13,0
2022-07-14,0
2022-07-15,878
2022-07-16,245
2022-07-17,483
2022-07-18,858
2022-07-19,139
2022-07-20,419
2022-07-21,394
2022-07-22,336
2022-07-23,404
2022-07-24,676
2022-07-25,403
2022-07-26,101
2022-07-27,317
2022-07-28,221
2022-07-29,206
2022-07-30,286
2022-07-31,354
2022-08-01,410
2022-08-02,472
2022-08-03,365
2022-08-04,134
2022-08-05,169
2022-08-06,298
2022-08-07,421
2022-08-08,54
2022-08-09,139
2022-08-10,28
2022-08-11,235
2022-08-12,283
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,70
2022-08-17,0
2022-08-18,177
2022-08-19,0
2022-08-20,168
2022-08-21,139
2022-08-22,28
2022-08-23,341
2022-08-24,68
2022-08-25,144
2022-08-26,0
2022-08-27,203
2022-08-28,68
2022-08-29,70
2022-08-30,0
2022-08-31,210
2022-09-01,233
2022-09-02,96
2022-09-03,139
2022-09-04,168
2022-09-05,140
2022-09-06,210
2022-09-07,199
2022-09-08,69
2022-09-09,532
2022-09-10,349
2022-09-11,515
2022-09-12,296
2022-09-13,1017
2022-09-14,856
2022-09-15,442
2022-09-16,511
2022-09-17,426
2022-09-18,896
2022-09-19,208
2022-09-20,422
2022-09-21,679
2022-09-22,405
2022-09-23,592
2022-09-24,37
2022-09-25,153
2022-09-26,403
2022-09-27,973
2022-09-28,573
2022-09-29,597
2022-09-30,686
2022-10-01,419
2022-10-02,603
2022-10-03,738
2022-10-04,1033
2022-10-05,402
2022-10-06,666
2022-10-07,577
2022-10-08,362
2022-10-09,291
2022-10-10,967
2022-10-11,252
2022-10-12,485
2022-10-13,1002
2022-10-14,1319
2022-10-15,919
2022-10-16,870
2022-10-17,352
2022-10-18,407
2022-10-19,474
2022-10-20,883
2022-10-21,346
2022-10-22,229
2022-10-23,74
2022-10-24,808
2022-10-25,217
2022-10-26,363
2022-10-27,133
2022-10-28,140
2022-10-29,130
2022-10-30,284
2022-10-31,0
2022-11-01,377
2022-11-02,86
2022-11-03,298
2022-11-04,916
2022-11-05,378
2022-11-06,662
2022-11-07,89
2022-11-08,30
2022-11-09,236
2022-11-10,78
2022-11-11,243
2022-11-12,104
2022-11-13,287
2022-11-14,447
2022-11-15,54
2022-11-16,167
2022-11-17,439
2022-11-18,285
2022-11-19,316
2022-11-20,549
2022-11-21,59
2022-11-22,225
2022-11-23,60
2022-11-24,30
2022-11-25,346
2022-11-26,305
2022-11-27,1182
2022-11-28,495
2022-11-29,270
2022-11-30,384
2022-12-01,497
2022-12-02,277
2022-12-03,616
2022-12-04,716
2022-12-05,363
2022-12-06,233
2022-12-07,1174
2022-12-08,464
2022-12-09,604
2022-12-10,968
2022-12-11,396
2022-12-12,290
2022-12-13,455
2022-12-14,495
2022-12-15,414
2022-12-16,281
2022-12-17,328
2022-12-18,443
2022-12-19,183
2022-12-20,246
2022-12-21,415
2022-12-22,200
2022-12-23,177
2022-12-24,292
2022-12-25,183
2022-12-26,499
2022-12-27,325
2022-12-28,280
2022-12-29,1080
2022-12-30,248
2022-12-31,1002
2023-01-01,398
2023-01-02,593
2023-01-03,99
2023-01-04,287
2023-01-05,584
2023-01-06,411
2023-01-07,442
2023-01-08,382
2023-01-09,759
2023-01-10,504
2023-01-11,410
2023-01-12,195
2023-01-13,245
2023-01-14,272
2023-01-15,498
2023-01-16,163
2023-01-17,363
2023-01-18,270
2023-01-19,199
2023-01-20,409
2023-01-21,710
2023-01-22,348
2023-01-23,397
2023-01-24,705
2023-01-25,177
2023-01-26,418
2023-01-27,308
2023-01-28,0
2023-01-29,230
2023-01-30,144
2023-01-31,30
2023-02-01,239
2023-02-02,178
2023-02-03,134
2023-02-04,1569
2023-02-05,212
2023-02-06,488
2023-02-07,384
2023-02-08,623
2023-02-09,212
2023-02-10,231
2023-02-11,630
2023-02-12,621
2023-02-13,338
2023-02-14,133
2023-02-15,59
2023-02-16,143
2023-02-17,849
2023-02-18,444
2023-02-19,676
2023-02-20,317
2023-02-21,739
2023-02-22,308
2023-02-23,588
2023-02-24,709
2023-02-25,1016
2023-02-26,425
2023-02-27,426
2023-02-28,629
2023-03-01,955
2023-03-02,902
2023-03-03,1133
2023-03-04,707
2023-03-05,386
2023-03-06,218
2023-03-07,370
2023-03-08,590
2023-03-09,288
2023-03-10,862
2023-03-11,1307
